benchmark,task_type,gov_config,seed,adversarial_fraction,screening_strength,p,completion_rate,efficiency,fidelity,capability_ratio,safety_score,gov_audit_rate,gov_circuit_breaker_enabled,gov_circuit_breaker_sensitivity,gov_min_stake,gov_bandwidth_cap,gov_confirmation_gates,capability
resource_auction_v1,allocation,light_screen_0.3,6,0.2,0.3,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
resource_auction_v1,allocation,tight_screen_0.3,7,0.2,0.3,0.85775255058929,1.0,0.3333333333333333,0.8740320287599276,0.8740320287599276,0.17480640575198553,0.8,True,0.6,6.0,30,2,0.8955429419613116
resource_auction_v1,allocation,moderate_screen_0.3,7,0.2,0.3,0.9030201507790454,1.0,0.5,0.9217002512984087,0.9217002512984087,0.18434005025968175,0.5,True,0.4,4.0,50,1,0.9265100753895226
resource_auction_v1,allocation,light_screen_0.3,7,0.2,0.3,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
resource_auction_v1,allocation,tight_screen_0.3,8,0.2,0.3,0.8453202248715026,1.0,0.3333333333333333,0.8533114858969486,0.8533114858969486,0.17066229717938974,0.8,True,0.6,6.0,30,2,0.8893267791024179
resource_auction_v1,allocation,moderate_screen_0.3,8,0.2,0.3,0.9333333333333335,1.0,0.3333333333333333,1.0,1.0,0.2,0.5,True,0.4,4.0,50,1,0.9333333333333332
resource_auction_v1,allocation,light_screen_0.3,8,0.2,0.3,0.9927948560947529,1.0,1.0,0.9879914268245881,0.9879914268245881,0.19759828536491764,0.15,False,,1.0,85,0,0.9963974280473763
resource_auction_v1,allocation,tight_screen_0.3,9,0.2,0.3,0.8572495403242405,1.0,0.3333333333333333,0.8731936783181785,0.8731936783181785,0.17463873566363572,0.8,True,0.6,6.0,30,2,0.8952914368287869
resource_auction_v1,allocation,moderate_screen_0.3,9,0.2,0.3,0.8474396109787289,1.0,0.3333333333333333,0.8568437960756591,0.8568437960756591,0.17136875921513184,0.5,True,0.4,4.0,50,1,0.890386472156031
resource_auction_v1,allocation,light_screen_0.3,9,0.2,0.3,0.9898112998101779,1.0,1.0,0.9830188330169629,0.9830188330169629,0.1966037666033926,0.15,False,,1.0,85,0,0.9949056499050889
resource_auction_v1,allocation,tight_screen_0.4,0,0.2,0.4,0.9304995159045083,1.0,0.3333333333333333,0.995276970951958,0.995276970951958,0.19905539419039162,0.8,True,0.6,6.0,30,2,0.9319164246189208
resource_auction_v1,allocation,moderate_screen_0.4,0,0.2,0.4,0.9116922698237261,1.0,0.5,0.9361537830395431,0.9361537830395431,0.18723075660790864,0.5,True,0.4,4.0,50,1,0.930846134911863
resource_auction_v1,allocation,light_screen_0.4,0,0.2,0.4,0.9877852457428514,1.0,1.0,0.9796420762380855,0.9796420762380855,0.19592841524761712,0.15,False,,1.0,85,0,0.9938926228714257
resource_auction_v1,allocation,tight_screen_0.4,1,0.2,0.4,0.9322481356061615,1.0,0.3333333333333333,0.99819133712138,0.99819133712138,0.199638267424276,0.8,True,0.6,6.0,30,2,0.9327907344697474
resource_auction_v1,allocation,moderate_screen_0.4,1,0.2,0.4,0.8752491763070847,1.0,0.5,0.8754152938451408,0.8754152938451408,0.1750830587690282,0.5,True,0.4,4.0,50,1,0.9126245881535422
resource_auction_v1,allocation,light_screen_0.4,1,0.2,0.4,0.9796762017963793,1.0,1.0,0.9661270029939653,0.9661270029939653,0.19322540059879306,0.15,False,,1.0,85,0,0.9898381008981895
resource_auction_v1,allocation,tight_screen_0.4,2,0.2,0.4,0.9200720571130329,1.0,0.3333333333333333,0.9778978729661656,0.9778978729661656,0.19557957459323314,0.8,True,0.6,6.0,30,2,0.926702695223183
resource_auction_v1,allocation,moderate_screen_0.4,2,0.2,0.4,0.8885409876835227,1.0,0.3333333333333333,0.9253460905836488,0.9253460905836488,0.18506921811672977,0.5,True,0.4,4.0,50,1,0.9109371605084279
resource_auction_v1,allocation,light_screen_0.4,2,0.2,0.4,0.9896620210284583,1.0,1.0,0.9827700350474303,0.9827700350474303,0.19655400700948608,0.15,False,,1.0,85,0,0.9948310105142291
resource_auction_v1,allocation,tight_screen_0.4,3,0.2,0.4,0.8766000828276385,1.0,0.3333333333333333,0.9054445824905084,0.9054445824905084,0.1810889164981017,0.8,True,0.6,6.0,30,2,0.9049667080804858
resource_auction_v1,allocation,moderate_screen_0.4,3,0.2,0.4,0.860697228430951,1.0,0.5,0.851162047384918,0.851162047384918,0.1702324094769836,0.5,True,0.4,4.0,50,1,0.9053486142154754
resource_auction_v1,allocation,light_screen_0.4,3,0.2,0.4,0.9963114139767402,1.0,1.0,0.9938523566279001,0.9938523566279001,0.19877047132558,0.15,False,,1.0,85,0,0.99815570698837
resource_auction_v1,allocation,tight_screen_0.4,4,0.2,0.4,0.8789196307400602,1.0,0.3333333333333333,0.9093104956778778,0.9093104956778778,0.18186209913557558,0.8,True,0.6,6.0,30,2,0.9061264820366967
resource_auction_v1,allocation,moderate_screen_0.4,4,0.2,0.4,0.8933874250721606,1.0,0.5,0.9056457084536008,0.9056457084536008,0.18112914169072017,0.5,True,0.4,4.0,50,1,0.9216937125360802
resource_auction_v1,allocation,light_screen_0.4,4,0.2,0.4,0.9917082094435403,1.0,1.0,0.986180349072567,0.986180349072567,0.19723606981451342,0.15,False,,1.0,85,0,0.99585410472177
resource_auction_v1,allocation,tight_screen_0.4,5,0.2,0.4,0.8569057010936986,1.0,0.3333333333333333,0.8726206129339419,0.8726206129339419,0.1745241225867884,0.8,True,0.6,6.0,30,2,0.8951195172135159
resource_auction_v1,allocation,moderate_screen_0.4,5,0.2,0.4,0.9097930274477475,1.0,0.3333333333333333,0.9607661568573568,0.9607661568573568,0.19215323137147136,0.5,True,0.4,4.0,50,1,0.9215631803905403
resource_auction_v1,allocation,light_screen_0.4,5,0.2,0.4,0.9914113211537774,1.0,1.0,0.9856855352562954,0.9856855352562954,0.1971371070512591,0.15,False,,1.0,85,0,0.9957056605768886
resource_auction_v1,allocation,tight_screen_0.4,6,0.2,0.4,0.9333333333333335,1.0,0.3333333333333333,1.0,1.0,0.2,0.8,True,0.6,6.0,30,2,0.9333333333333332
resource_auction_v1,allocation,moderate_screen_0.4,6,0.2,0.4,0.8565746277067471,1.0,0.3333333333333333,0.8720688239556894,0.8720688239556894,0.1744137647911379,0.5,True,0.4,4.0,50,1,0.89495398052004
resource_auction_v1,allocation,light_screen_0.4,6,0.2,0.4,0.9892740130210864,1.0,1.0,0.9821233550351439,0.9821233550351439,0.1964246710070288,0.15,False,,1.0,85,0,0.9946370065105431
resource_auction_v1,allocation,tight_screen_0.4,7,0.2,0.4,0.8397545491190869,1.0,0.3333333333333333,0.8440353596429223,0.8440353596429223,0.16880707192858446,0.8,True,0.6,6.0,30,2,0.88654394122621
resource_auction_v1,allocation,moderate_screen_0.4,7,0.2,0.4,0.8509655831187537,1.0,0.5,0.8349426385312558,0.8349426385312558,0.16698852770625117,0.5,True,0.4,4.0,50,1,0.9004827915593767
resource_auction_v1,allocation,light_screen_0.4,7,0.2,0.4,0.9828306600661745,1.0,1.0,0.9713844334436239,0.9713844334436239,0.19427688668872478,0.15,False,,1.0,85,0,0.9914153300330871
resource_auction_v1,allocation,tight_screen_0.4,8,0.2,0.4,0.7548531412103332,1.0,0.3333333333333333,0.7025330131283329,0.7025330131283329,0.14050660262566658,0.8,True,0.6,6.0,30,2,0.8440932372718332
resource_auction_v1,allocation,moderate_screen_0.4,8,0.2,0.4,0.8828306924297833,1.0,0.3333333333333333,0.9158289318274163,0.9158289318274163,0.18316578636548328,0.5,True,0.4,4.0,50,1,0.9080820128815582
resource_auction_v1,allocation,light_screen_0.4,8,0.2,0.4,0.9927948560947529,1.0,1.0,0.9879914268245881,0.9879914268245881,0.19759828536491764,0.15,False,,1.0,85,0,0.9963974280473763
resource_auction_v1,allocation,tight_screen_0.4,9,0.2,0.4,0.9065988280621554,1.0,0.3333333333333333,0.9554424912147033,0.9554424912147033,0.19108849824294066,0.8,True,0.6,6.0,30,2,0.9199660806977442
resource_auction_v1,allocation,moderate_screen_0.4,9,0.2,0.4,0.8377023046920402,1.0,0.5,0.8128371744867333,0.8128371744867333,0.16256743489734668,0.5,True,0.4,4.0,50,1,0.89385115234602
resource_auction_v1,allocation,light_screen_0.4,9,0.2,0.4,0.9845890781717272,1.0,1.0,0.9743151302862119,0.9743151302862119,0.19486302605724237,0.15,False,,1.0,85,0,0.9922945390858635
resource_auction_v1,allocation,tight_screen_0.5,0,0.2,0.5,0.8471609920637918,1.0,0.3333333333333333,0.8563794312174305,0.8563794312174305,0.1712758862434861,0.8,True,0.6,6.0,30,2,0.8902471626985625
resource_auction_v1,allocation,moderate_screen_0.5,0,0.2,0.5,0.843191841083901,1.0,0.5,0.8219864018065015,0.8219864018065015,0.1643972803613003,0.5,True,0.4,4.0,50,1,0.8965959205419505
resource_auction_v1,allocation,light_screen_0.5,0,0.2,0.5,0.9731319224666132,1.0,1.0,0.9552198707776884,0.9552198707776884,0.1910439741555377,0.15,False,,1.0,85,0,0.9865659612333065
resource_auction_v1,allocation,tight_screen_0.5,1,0.2,0.5,0.8680164399596795,1.0,0.3333333333333333,0.8911385110439101,0.8911385110439101,0.17822770220878204,0.8,True,0.6,6.0,30,2,0.9006748866465063
resource_auction_v1,allocation,moderate_screen_0.5,1,0.2,0.5,0.8575738343348025,1.0,0.5,0.845956390558004,0.845956390558004,0.1691912781116008,0.5,True,0.4,4.0,50,1,0.9037869171674012
resource_auction_v1,allocation,light_screen_0.5,1,0.2,0.5,0.9829482780483253,1.0,1.0,0.9715804634138754,0.9715804634138754,0.19431609268277508,0.15,False,,1.0,85,0,0.9914741390241625
resource_auction_v1,allocation,tight_screen_0.5,2,0.2,0.5,0.9203539527618285,1.0,0.3333333333333333,0.9783676990474918,0.9783676990474918,0.19567353980949836,0.8,True,0.6,6.0,30,2,0.9268436430475808
resource_auction_v1,allocation,moderate_screen_0.5,2,0.2,0.5,0.8731545978770794,1.0,0.3333333333333333,0.8997021075729099,0.8997021075729099,0.179940421514582,0.5,True,0.4,4.0,50,1,0.9032439656052063
resource_auction_v1,allocation,light_screen_0.5,2,0.2,0.5,0.981010798139127,1.0,1.0,0.9683513302318781,0.9683513302318781,0.19367026604637563,0.15,False,,1.0,85,0,0.9905053990695634
resource_auction_v1,allocation,tight_screen_0.5,3,0.2,0.5,0.9041697139284683,1.0,0.3333333333333333,0.9513939676585582,0.9513939676585582,0.19027879353171165,0.8,True,0.6,6.0,30,2,0.9187515236309007
resource_auction_v1,allocation,moderate_screen_0.5,3,0.2,0.5,0.8948971112003478,1.0,0.5,0.9081618520005793,0.9081618520005793,0.18163237040011587,0.5,True,0.4,4.0,50,1,0.9224485556001738
resource_auction_v1,allocation,light_screen_0.5,3,0.2,0.5,0.9892368453781613,1.0,1.0,0.9820614089636018,0.9820614089636018,0.19641228179272038,0.15,False,,1.0,85,0,0.9946184226890805
resource_auction_v1,allocation,tight_screen_0.5,4,0.2,0.5,0.871245824591825,1.0,0.3333333333333333,0.8965208187641526,0.8965208187641526,0.17930416375283054,0.8,True,0.6,6.0,30,2,0.902289578962579
resource_auction_v1,allocation,moderate_screen_0.5,4,0.2,0.5,0.8702935692658903,1.0,0.5,0.8671559487764835,0.8671559487764835,0.1734311897552967,0.5,True,0.4,4.0,50,1,0.9101467846329451
resource_auction_v1,allocation,light_screen_0.5,4,0.2,0.5,0.9920524251364876,1.0,1.0,0.9867540418941458,0.9867540418941458,0.19735080837882918,0.15,False,,1.0,85,0,0.9960262125682436
resource_auction_v1,allocation,tight_screen_0.5,5,0.2,0.5,0.9299211878921314,1.0,0.3333333333333333,0.9943130909313299,0.9943130909313299,0.198862618186266,0.8,True,0.6,6.0,30,2,0.9316272606127323
resource_auction_v1,allocation,moderate_screen_0.5,5,0.2,0.5,0.9077594739116556,1.0,0.3333333333333333,0.9573769009638702,0.9573769009638702,0.19147538019277405,0.5,True,0.4,4.0,50,1,0.9205464036224943
resource_auction_v1,allocation,light_screen_0.5,5,0.2,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
resource_auction_v1,allocation,tight_screen_0.5,6,0.2,0.5,0.8822857921519693,1.0,0.3333333333333333,0.9149207646977265,0.9149207646977265,0.1829841529395453,0.8,True,0.6,6.0,30,2,0.9078095627426512
resource_auction_v1,allocation,moderate_screen_0.5,6,0.2,0.5,0.8533890081150366,1.0,0.3333333333333333,0.8667594579695053,0.8667594579695053,0.17335189159390108,0.5,True,0.4,4.0,50,1,0.8933611707241849
resource_auction_v1,allocation,light_screen_0.5,6,0.2,0.5,0.9538933766293684,1.0,1.0,0.9231556277156137,0.9231556277156137,0.18463112554312275,0.15,False,,1.0,85,0,0.9769466883146841
resource_auction_v1,allocation,tight_screen_0.5,7,0.2,0.5,0.8395481013684503,1.0,0.3333333333333333,0.8436912800585281,0.8436912800585281,0.16873825601170564,0.8,True,0.6,6.0,30,2,0.8864407173508918
resource_auction_v1,allocation,moderate_screen_0.5,7,0.2,0.5,0.8857125583841073,1.0,0.5,0.8928542639735119,0.8928542639735119,0.1785708527947024,0.5,True,0.4,4.0,50,1,0.9178562791920536
resource_auction_v1,allocation,light_screen_0.5,7,0.2,0.5,0.9700589251205526,1.0,1.0,0.9500982085342541,0.9500982085342541,0.19001964170685082,0.15,False,,1.0,85,0,0.9850294625602761
resource_auction_v1,allocation,tight_screen_0.5,8,0.2,0.5,0.8889152989823871,1.0,0.3333333333333333,0.9259699427484227,0.9259699427484227,0.18519398854968455,0.8,True,0.6,6.0,30,2,0.91112431615786
resource_auction_v1,allocation,moderate_screen_0.5,8,0.2,0.5,0.888837862102237,1.0,0.3333333333333333,0.9258408812815059,0.9258408812815059,0.1851681762563012,0.5,True,0.4,4.0,50,1,0.9110855977177851
resource_auction_v1,allocation,light_screen_0.5,8,0.2,0.5,0.9942507327669238,1.0,1.0,0.9904178879448728,0.9904178879448728,0.19808357758897457,0.15,False,,1.0,85,0,0.9971253663834617
resource_auction_v1,allocation,tight_screen_0.5,9,0.2,0.5,0.8679506341374508,1.0,0.3333333333333333,0.8910288346735289,0.8910288346735289,0.1782057669347058,0.8,True,0.6,6.0,30,2,0.900641983735392
resource_auction_v1,allocation,moderate_screen_0.5,9,0.2,0.5,0.8900126547594414,1.0,0.5,0.9000210912657354,0.9000210912657354,0.18000421825314708,0.5,True,0.4,4.0,50,1,0.9200063273797205
resource_auction_v1,allocation,light_screen_0.5,9,0.2,0.5,0.9911148202708183,1.0,1.0,0.9851913671180303,0.9851913671180303,0.19703827342360608,0.15,False,,1.0,85,0,0.9955574101354091
resource_auction_v1,allocation,tight_screen_0.6,0,0.2,0.6,0.8572323581939618,1.0,0.3333333333333333,0.8731650414343807,0.8731650414343807,0.17463300828687614,0.8,True,0.6,6.0,30,2,0.8952828457636475
resource_auction_v1,allocation,moderate_screen_0.6,0,0.2,0.6,0.9224317608076392,1.0,0.5,0.9540529346793984,0.9540529346793984,0.1908105869358797,0.5,True,0.4,4.0,50,1,0.9362158804038195
resource_auction_v1,allocation,light_screen_0.6,0,0.2,0.6,0.9818126976359627,1.0,1.0,0.9696878293932709,0.9696878293932709,0.19393756587865418,0.15,False,,1.0,85,0,0.9909063488179812
resource_auction_v1,allocation,tight_screen_0.6,1,0.2,0.6,0.8244343971856252,1.0,0.3333333333333333,0.8185017730871529,0.8185017730871529,0.1637003546174306,0.8,True,0.6,6.0,30,2,0.8788838652594791
resource_auction_v1,allocation,moderate_screen_0.6,1,0.2,0.6,0.8923275338186795,1.0,0.5,0.9038792230311321,0.9038792230311321,0.18077584460622642,0.5,True,0.4,4.0,50,1,0.9211637669093397
resource_auction_v1,allocation,light_screen_0.6,1,0.2,0.6,0.9957885060936557,1.0,1.0,0.9929808434894258,0.9929808434894258,0.19859616869788518,0.15,False,,1.0,85,0,0.9978942530468277
resource_auction_v1,allocation,tight_screen_0.6,2,0.2,0.6,0.9284800588530935,1.0,0.3333333333333333,0.9919112091996,0.9919112091996,0.19838224183992,0.8,True,0.6,6.0,30,2,0.9309066960932133
resource_auction_v1,allocation,moderate_screen_0.6,2,0.2,0.6,0.8964717095812734,1.0,0.3333333333333333,0.9385639604132333,0.9385639604132333,0.18771279208264668,0.5,True,0.4,4.0,50,1,0.9149025214573033
resource_auction_v1,allocation,light_screen_0.6,2,0.2,0.6,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
resource_auction_v1,allocation,tight_screen_0.6,3,0.2,0.6,0.8814190100677585,1.0,0.3333333333333333,0.9134761278907083,0.9134761278907083,0.18269522557814166,0.8,True,0.6,6.0,30,2,0.9073761717005459
resource_auction_v1,allocation,moderate_screen_0.6,3,0.2,0.6,0.8870558104099788,1.0,0.5,0.8950930173499645,0.8950930173499645,0.1790186034699929,0.5,True,0.4,4.0,50,1,0.9185279052049893
resource_auction_v1,allocation,light_screen_0.6,3,0.2,0.6,0.9874866402730458,1.0,1.0,0.9791444004550761,0.9791444004550761,0.19582888009101523,0.15,False,,1.0,85,0,0.9937433201365228
resource_auction_v1,allocation,tight_screen_0.6,4,0.2,0.6,0.9213151490193755,1.0,0.3333333333333333,0.9799696928100701,0.9799696928100701,0.19599393856201403,0.8,True,0.6,6.0,30,2,0.9273242411763544
resource_auction_v1,allocation,moderate_screen_0.6,4,0.2,0.6,0.9157669267551457,1.0,0.5,0.9429448779252425,0.9429448779252425,0.1885889755850485,0.5,True,0.4,4.0,50,1,0.9328834633775728
resource_auction_v1,allocation,light_screen_0.6,4,0.2,0.6,0.9966794739730253,1.0,1.0,0.9944657899550419,0.9944657899550419,0.19889315799100837,0.15,False,,1.0,85,0,0.9983397369865125
resource_auction_v1,allocation,tight_screen_0.6,5,0.2,0.6,0.9200303384775295,1.0,0.3333333333333333,0.9778283419069934,0.9778283419069934,0.1955656683813987,0.8,True,0.6,6.0,30,2,0.9266818359054313
resource_auction_v1,allocation,moderate_screen_0.6,5,0.2,0.6,0.9032085514953272,1.0,0.3333333333333333,0.9497920302699895,0.9497920302699895,0.1899584060539979,0.5,True,0.4,4.0,50,1,0.9182709424143302
resource_auction_v1,allocation,light_screen_0.6,5,0.2,0.6,0.9901091505853982,1.0,1.0,0.9835152509756635,0.9835152509756635,0.1967030501951327,0.15,False,,1.0,85,0,0.995054575292699
resource_auction_v1,allocation,tight_screen_0.6,6,0.2,0.6,0.8955057120549635,1.0,0.3333333333333333,0.9369539645360502,0.9369539645360502,0.18739079290721006,0.8,True,0.6,6.0,30,2,0.9144195226941484
resource_auction_v1,allocation,moderate_screen_0.6,6,0.2,0.6,0.9179683293143712,1.0,0.3333333333333333,0.9743916599683963,0.9743916599683963,0.19487833199367927,0.5,True,0.4,4.0,50,1,0.9256508313238522
resource_auction_v1,allocation,light_screen_0.6,6,0.2,0.6,1.0,1.0,1.0,1.0,1.0,0.2,0.15,False,,1.0,85,0,0.9999999999999999
resource_auction_v1,allocation,tight_screen_0.6,7,0.2,0.6,0.8996841951025771,1.0,0.3333333333333333,0.9439181029487395,0.9439181029487395,0.1887836205897479,0.8,True,0.6,6.0,30,2,0.9165087642179551
resource_auction_v1,allocation,moderate_screen_0.6,7,0.2,0.6,0.8928832603222971,1.0,0.5,0.904805433870495,0.904805433870495,0.180961086774099,0.5,True,0.4,4.0,50,1,0.9214416301611486
resource_auction_v1,allocation,light_screen_0.6,7,0.2,0.6,0.9816349730661388,1.0,1.0,0.9693916217768979,0.9693916217768979,0.19387832435537958,0.15,False,,1.0,85,0,0.9908174865330693
resource_auction_v1,allocation,tight_screen_0.6,8,0.2,0.6,0.8945871293353134,1.0,0.3333333333333333,0.9354229933366331,0.9354229933366331,0.18708459866732663,0.8,True,0.6,6.0,30,2,0.9139602313343232
resource_auction_v1,allocation,moderate_screen_0.6,8,0.2,0.6,0.8165986720612947,1.0,0.3333333333333333,0.8054422312132686,0.8054422312132686,0.16108844624265373,0.5,True,0.4,4.0,50,1,0.874966002697314
resource_auction_v1,allocation,light_screen_0.6,8,0.2,0.6,0.9942507327669238,1.0,1.0,0.9904178879448728,0.9904178879448728,0.19808357758897457,0.15,False,,1.0,85,0,0.9971253663834617
resource_auction_v1,allocation,tight_screen_0.6,9,0.2,0.6,0.894143745628205,1.0,0.3333333333333333,0.9346840204914525,0.9346840204914525,0.1869368040982905,0.8,True,0.6,6.0,30,2,0.913738539480769
resource_auction_v1,allocation,moderate_screen_0.6,9,0.2,0.6,0.8805304630915652,1.0,0.5,0.8842174384859418,0.8842174384859418,0.17684348769718838,0.5,True,0.4,4.0,50,1,0.9152652315457825
