detection,reset_cadence,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_infection,mean_infection,final_infection,mean_tier3_poisoning,final_tier3_poisoning,mean_cache_corruption,contagion_writes
off,2,0,42,3000,3000,0.28874019444608334,0.0,3057.259972471158,76.43149931177895,10,0,63.448822719739816,214.46354197293584,149.82666840425114,381.4166130243643,175.69236323898917,303.6945089521807,210.60420132669137,288.09126500827574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18134280501166952,0.09913098695116823,0.1233789958642981,0.11065713891371787,0.09090909090909091,0.11065713891371787,74
off,2,1,43,2986,2986,0.2876358660080759,0.0,3053.0489914320938,76.32622478580234,10,0,63.44849974800261,212.70428822850786,156.2048796692117,381.69133735721164,174.1456475199684,293.39655518196764,212.7059387618884,288.033251610706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20085778904293897,0.10273415876517082,0.10370346495663743,0.11551191863691863,0.2,0.11551191863691863,67
off,2,2,44,2987,2987,0.2870907944059475,0.0,3059.9690701965537,76.49922675491385,10,0,63.64320794695732,211.405594491207,159.0252683078256,380.46525795771765,173.7812266252807,300.8854068630559,210.66084585929804,279.91116621901597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17324601665365197,0.10500016658870859,0.0818335356529756,0.1149838356088356,0.15384615384615385,0.1149838356088356,97
off,2,3,45,2987,2987,0.28815617498956725,0.0,3050.5192461306333,76.26298115326583,10,0,63.36527194501849,213.09073501957067,163.16914101215914,378.9013805055842,174.53339044197844,303.4872635616962,207.56597381023067,286.3268850859547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17200036382360068,0.08942423551842109,0.06720556634191553,0.09724243077184254,0.1111111111111111,0.09724243077184254,54
off,2,4,46,2994,2994,0.2889086503204967,0.0,3048.894996787814,76.22237491969534,10,0,63.25573519964145,214.29394403088136,161.62932199283355,385.7862478617095,176.41342453187676,292.4240807136996,213.92734730564396,289.0537325491049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13334220958005433,0.07913494859656983,0.10000665718504075,0.08976044788544787,0.125,0.08976044788544787,66
off,2,5,47,3008,3008,0.2874113561638888,0.0,3078.078459230148,76.9519614807537,10,0,63.99054291853362,213.92844144557884,165.25529258348075,380.7724800649119,175.88034726027774,300.93517279595613,215.9274236338349,283.5698672321656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15833654874851172,0.09571292291817106,0.09365688484181155,0.10273718928130693,0.0,0.10273718928130693,85
off,2,6,48,3004,3004,0.2867808639975773,0.0,3079.940606975794,76.99851517439484,10,0,64.08060608752321,215.3571137159929,167.23234523296182,387.11068877103185,178.3067574655408,289.73238924723546,218.75772814150903,287.62023748897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1807221738081819,0.10113236574902755,0.1078695629807388,0.11636544011544012,0.2857142857142857,0.11636544011544012,69
off,2,7,49,3028,3028,0.2873486922178403,0.0,3099.3076001160935,77.48269000290233,10,0,64.43845882694377,218.36123463069393,167.81469503234106,387.30653885050276,177.79521192987886,313.04022690632564,214.88621913208527,294.4573143446276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1748631420787216,0.08825854218169886,0.07057632905188693,0.10105176686059039,0.3,0.10105176686059039,64
off,2,8,50,2997,2997,0.2873749618093492,0.0,3067.1199568158936,76.67799892039734,10,0,63.76529284752614,213.05955309779256,162.09727773971787,375.6918852414827,175.3754607762254,298.2501876644213,207.80636661931632,286.1431060184179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176302163485468,0.09450039212172215,0.06750639264304484,0.10340952541610435,0.15384615384615385,0.10340952541610435,72
off,2,9,51,3016,3016,0.2874253371100395,0.0,3085.8234366407073,77.14558591601768,10,0,64.14774813649124,215.32005685315102,171.25310718371287,375.3596244032421,176.45103239746945,292.66285858091544,218.20632803712272,291.81259376432786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16017118394849433,0.08456838688891248,0.05071821144453685,0.09149725274725275,0.125,0.09149725274725275,66
off,5,0,42,2985,2985,0.2911626784641904,0.0,3017.422352712773,75.43555881781933,10,0,62.409480962140265,210.59581886590541,158.63126549691034,387.5014398990188,170.49678123985274,291.73077899447986,210.52750408337428,290.35960907104175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4019431089743589,0.24138256134677677,0.2820319503754346,0.29736939118092165,0.42105263157894735,0.2730612734144081,209
off,5,1,43,2978,2978,0.2895491013807407,0.0,3025.584986838619,75.63962467096547,10,0,62.71132314231219,213.5250997379775,153.3337079085024,386.14634695348263,172.57298389289372,304.81294762180994,212.83027332564063,291.0849365374812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3686670448838165,0.20583186138710188,0.3022194972285716,0.28083006365922913,0.5185185185185185,0.23724832367924473,166
off,5,2,44,3003,3003,0.28870037128751114,0.0,3060.0313553016845,76.50078388254211,10,0,63.50386339122588,215.10511504782988,160.8572601053648,378.61270137728553,173.9731686079206,311.9228767229183,212.08546823660527,291.60189693562575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158824142460845,0.20475215000833408,0.22092072782485786,0.2661747451056463,0.34615384615384615,0.22507120459519842,162
off,5,3,45,2983,2983,0.29052418129525,0.0,3021.0693995644024,75.52673498911005,10,0,62.53439410483522,210.6080069508981,161.5692065121927,383.5197471603774,169.99688550361782,296.15697154856144,209.6179631852349,290.1619108767389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33457421022808614,0.22186706483510582,0.27178471381558145,0.26266830895170845,0.45,0.2535009183712744,179
off,5,4,46,2981,2981,0.29042643195150825,0.0,3020.0727431821774,75.50181857955444,10,0,62.522727740652144,213.1091550882058,157.9773807263203,398.7280943321603,171.86178190272702,293.68523449460577,214.250763622766,295.9924306741621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3443865060996315,0.19826431912481235,0.29021604294558656,0.23638574120095018,0.48148148148148145,0.2275305223457313,140
off,5,5,47,3008,3008,0.2889096564395398,0.0,3062.5611477685866,76.56402869421467,10,0,63.53415140495829,218.01053484815733,171.50138007193408,388.97344208667766,179.17799709143586,306.42357082897206,219.85386030943886,289.3799673972736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28601866883116883,0.20686611849155886,0.24572106308361258,0.2550209054241742,0.3333333333333333,0.23362853155616312,151
off,5,6,48,2995,2995,0.2897687442729083,0.0,3040.092291524653,76.00230728811633,10,0,62.988008574254366,213.95886158542424,161.2612850042468,375.6946847639687,173.18842601673057,307.50246248153513,222.7827208601134,285.0864382061053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3935722364756991,0.24265627053061448,0.2633307987807225,0.2857247816654786,0.38461538461538464,0.26865608043916867,183
off,5,7,49,3006,3006,0.2906616643587268,0.0,3043.18530803817,76.07963270095425,10,0,62.98192082465191,215.40640673872372,167.8082338805551,384.15087910873166,175.05166873328417,299.03592784636606,215.90747326690666,294.4053269371296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4381452622208221,0.281820401616809,0.3970082504581124,0.32866693137425235,0.52,0.32159602040116747,222
off,5,8,50,2983,2983,0.28945519315325396,0.0,3031.4836245352208,75.78709061338051,10,0,62.84069483927105,214.879343501761,163.5647731307063,387.6165034030083,172.81801289700812,321.8319092273075,208.2854674740487,290.88399046710276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4198580595815917,0.19200462897311948,0.4198580595815917,0.2823668514286829,0.6,0.23849398344173886,140
off,5,9,51,3020,3020,0.2901712983104209,0.0,3061.7748323660812,76.54437080915203,10,0,63.40514212841401,217.2551443563571,157.3072842427857,394.77239410891815,174.21115089482043,315.4741236192556,212.53695274545166,299.6367309149706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4228199647939717,0.2542387783860968,0.28697536142494445,0.2943035971596343,0.42857142857142855,0.2857619304929676,203
off,10,0,42,3004,3004,0.29269797599549896,0.0,3019.7984543355733,75.49496135838933,10,0,62.31171924516379,212.68986264873902,149.08688097995736,388.4369896786826,170.2792531577982,296.33666657552436,215.06201929401993,296.9122108355283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5304864818562325,0.34819486737860517,0.20458562158366864,0.4557952353930503,0.5,0.3647887889973803,308
off,10,1,43,2984,2984,0.29075742385984826,0.0,3019.0387478783664,75.47596869695916,10,0,62.465845525834176,213.72271464326786,151.14267041103105,382.46353007835324,170.40043384012506,317.2372792989761,214.7454198050048,291.4209221439736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4556508558253403,0.28259103098841937,0.25075176876595096,0.4247572846517779,0.6041666666666666,0.30389741364586564,253
off,10,2,44,2979,2979,0.2903304046016568,0.0,3019.1581625173976,75.47895406293495,10,0,62.513475368158616,215.12740946721024,166.1161940579903,394.7102075895072,172.18390408139928,314.3909392256624,215.42665999180247,294.176535483121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43347223152254793,0.2744595906249101,0.120678242859948,0.44705605562785794,0.5217391304347826,0.28351045883940623,204
off,10,3,45,3007,3007,0.2908675642014988,0.0,3041.370289128737,76.03425722821842,10,0,62.9197143861392,213.54921399221615,164.65241638722418,390.1948667187555,176.20940524894135,296.59660712850706,209.43456303903355,286.10226913048655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4143610187298945,0.27683472344849414,0.2168764919023771,0.40251385625584035,0.5,0.2943504603411724,220
off,10,4,46,2991,2991,0.29221935810188526,0.0,3012.2295617603777,75.30573904400944,10,0,62.20381064001098,214.5163912190902,160.66287331566093,397.7517052878658,172.24810940476513,299.2525076418655,213.21331379465033,299.60471716289777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5177415483793466,0.2723570856337095,0.51330616128451,0.4053192635520039,0.6764705882352942,0.3221050477300477,220
