mode,detection,write_pref,side_defender_error,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy,side_teardown,side_active,side_teardown_count,side_sweep_count,discovered_fraction,side_writes,sanctioned_writes,ungoverned_fraction,side_cache_corruption,side_entries,evader_fraction,population_attention,chosen_attention,substrate_gap,mean_side_value,side_host_users
deletion,0.05,0.7,0.0,44,7,False,0.24716099330357144,0.2716343470982143,0.0,0.5227272727272727,0.5294117647058824,False,True,2,0,0.9,27,15,0.6428571428571429,0.3783783783783784,53,0.0,0.065,0.012222222222222223,-0.05277777777777778,0.0,"[2, 6, 1, 0]"
deletion,0.05,0.7,0.0,44,8,False,0.22618707150829082,0.26622576032366074,0.0,0.5319148936170213,0.5211267605633803,False,True,2,0,0.9,30,16,0.6521739130434783,0.4186046511627907,83,0.0,0.065,0.012222222222222223,-0.05277777777777778,0.0,"[2, 6, 1, 0]"
deletion,0.05,0.7,0.0,44,9,False,0.2213209759001257,0.2809193202427456,0.0,0.56,0.4868421052631579,False,True,2,0,0.9,24,17,0.5853658536585366,0.4090909090909091,107,0.0,0.065,0.012222222222222223,-0.05277777777777778,0.0,"[2, 6, 1, 0]"
deletion,0.05,0.7,0.0,44,10,False,0.21737962081398313,0.29193949018205917,0.0,0.5245901639344263,0.5056179775280899,False,True,2,0,0.9,19,13,0.59375,0.425531914893617,126,0.0,0.065,0.012222222222222223,-0.05277777777777778,0.0,"[2, 6, 1, 0]"
deletion,0.05,0.7,0.0,44,11,False,0.22107042989620163,0.3127046176365444,0.0,0.5588235294117647,0.48936170212765956,False,True,2,0,0.9,30,13,0.6976744186046512,0.3,156,0.0,0.065,0.012222222222222223,-0.05277777777777778,0.0,"[2, 6, 1, 0]"
deletion,0.05,0.7,0.0,44,12,False,0.20330282242215122,0.2907784632274083,0.0,0.5633802816901409,0.47959183673469385,False,True,2,0,0.9,31,13,0.7045454545454546,0.38461538461538464,187,0.0,0.065,0.012222222222222223,-0.05277777777777778,0.0,"[2, 6, 1, 0]"
deletion,0.05,0.7,0.0,44,13,False,0.20247711681661343,0.2930838474205562,0.0,0.5540540540540541,0.47115384615384615,False,True,2,0,0.9,28,14,0.6666666666666666,0.37037037037037035,215,0.0,0.065,0.012222222222222223,-0.05277777777777778,0.0,"[2, 6, 1, 0]"
deletion,0.05,0.7,0.0,44,14,False,0.20453640904103151,0.30106288556541716,0.0,0.5476190476190477,0.4778761061946903,False,True,2,0,0.9,17,20,0.4594594594594595,0.4074074074074074,232,0.0,0.065,0.012222222222222223,-0.05277777777777778,0.0,"[2, 6, 1, 0]"
deletion,0.05,0.7,0.0,44,15,False,0.20786659249505934,0.30704716417406286,0.0,0.5444444444444444,0.475,False,True,2,0,1.0,28,17,0.6222222222222222,0.2962962962962963,260,0.0,0.065,0.016,-0.049,0.0,"[2, 6, 2, 0]"
deletion,0.05,0.7,0.0,44,16,False,0.19161423008558023,0.28028537313054713,0.0,0.5204081632653061,0.4921875,False,True,2,0,1.0,28,15,0.6511627906976745,0.4482758620689655,288,0.0,0.065,0.016,-0.049,0.0,"[2, 6, 2, 0]"
deletion,0.05,0.7,0.0,44,17,False,0.20710352970704232,0.3039640298479104,0.0,0.5048543689320388,0.4962962962962963,False,True,2,0,1.0,29,15,0.6590909090909091,0.4,317,0.0,0.065,0.016,-0.049,0.0,"[2, 6, 2, 0]"
deletion,0.05,0.7,0.0,44,18,False,0.21425621870885317,0.3154730223859328,0.0,0.5046728971962616,0.49640287769784175,True,True,3,0,1.0,33,12,0.7333333333333333,0.225,79,0.0,0.065,0.038,-0.027000000000000003,0.0,"[3, 3, 3, 1]"
deletion,0.05,0.7,0.0,44,19,False,0.17676359260306845,0.29228353848957345,0.0,0.5175438596491229,0.48299319727891155,True,True,4,0,1.0,13,23,0.3611111111111111,0.225,90,0.0,0.065,0.023,-0.042,0.0,"[3, 3, 4, 0]"
deletion,0.05,0.7,0.0,44,20,False,0.1486441230237299,0.2754626538671801,0.0,0.5333333333333333,0.46794871794871795,False,True,4,0,1.0,29,10,0.7435897435897436,0.3333333333333333,119,0.0,0.065,0.023,-0.042,0.0,"[3, 3, 4, 0]"
