mode,detection,write_pref,side_defender_error,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value,final_host_users
deletion,0.05,0.7,0.5,4,46,2068,2068,0.28746985636781297,0.0,2114.846531297436,52.871163282435894,10,0,43.95430974404216,172.90016956803305,120.43123287964241,368.01542354172227,136.11626879538733,190.17787480961366,194.54495058478346,263.79062875680484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7804878048780488,0.6779765432354479,1.0,0.3828193380000128,0.2102323894497692,947,435,5,0,0,-0.013500000000000002,627,0.0,0.0,"[5, 0, 0, 5]"
deletion,0.05,0.7,0.5,5,47,1971,1971,0.27555235810725914,0.0,2094.1439050125537,52.35359762531384,10,0,44.201291323898594,170.4120294180933,136.37466639014602,268.4128498512298,145.2156683610434,268.4128498512298,190.58522746517713,186.91410334913286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222222222222222,0.6918096758762293,1.0,0.4144186942281828,0.2596270488110992,1038,536,9,0,0,-0.064,698,0.0,0.0,"[9, 1, 0, 0]"
deletion,0.05,0.7,0.5,6,48,2166,2166,0.2785351601344178,0.0,2269.746321616311,56.74365804040777,10,0,47.64548004753848,182.21228975540367,139.0268918174314,274.04596160341094,154.03896384321652,274.04596160341094,203.33838518008304,210.25238385562167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.7123450127859423,1.0,0.39422500833386914,0.2589658792849513,868,489,3,0,0,-0.014000000000000002,728,0.0,0.0,"[5, 1, 0, 4]"
deletion,0.05,0.7,0.5,7,49,2153,2153,0.27864026034977873,0.0,2256.2447253120295,56.406118132800735,10,0,47.36308015623608,178.64425913890182,138.80767557381336,263.24996518158474,156.5662864869871,256.6784551736503,168.83982358303552,210.76329685520477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.6953936379020196,1.0,0.33004303877832275,0.28569677932859777,877,497,0,0,0,-0.0075000000000000015,854,0.0,0.0,"[0, 9, 1, 0]"
deletion,0.05,0.7,0.5,8,50,2178,2178,0.2790864410651527,0.0,2283.3082699380648,57.08270674845162,10,0,47.93847852759008,179.19529419655854,152.23029428754924,277.5431512907324,159.29323852498757,199.09338017940993,186.6623010820318,225.2189147771091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.6953469155003049,1.0,0.39805357142857145,0.2376374988007064,847,421,3,0,0,-0.015000000000000003,745,0.0,0.0,"[6, 0, 0, 4]"
deletion,0.05,0.7,0.5,9,51,2026,2026,0.27841203015122284,0.0,2131.4119437318413,53.285298593296034,10,0,44.812115992112915,172.40494630820254,144.38336170304729,220.08082626526604,161.47448923777804,155.53381406566564,161.38004442020116,219.14433458474514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8478260869565217,0.6700311219523523,1.0,0.4813862988862989,0.29520052126405566,987,501,0,0,0,-0.0625,948,0.0,0.0,"[4, 6, 0, 0]"
revocation,0.05,0.7,0.0,0,42,2065,2065,0.2828648469461704,0.0,2140.1183771859655,53.50295942964914,10,0,44.72406991723422,167.65352434383288,118.91398827321088,250.3981387306788,149.72393890161217,163.3653118810757,193.46495955760258,210.68066929498883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8378378378378378,0.7121801270132841,1.0,0.43876152073732716,0.3046960253038406,911,459,3,0,0,-0.065,761,0.0,0.0,"[10, 0, 0, 0]"
revocation,0.05,0.7,0.0,1,43,2365,2365,0.2843348734671488,0.0,2439.1792149578037,60.979480373945094,10,0,50.87291808699415,186.7132917773088,135.65272479179458,328.4584735966845,157.6971143219333,216.55656775241025,203.99840111128614,250.19763148889592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8292682926829268,0.6878877533468638,0.8,0.27508597997904727,0.1378026704613886,664,273,6,0,0,-0.048799999999999996,280,0.0,0.0,"[4, 4, 0, 0]"
revocation,0.05,0.7,0.0,2,44,2138,2138,0.281165774468606,0.0,2225.936061975789,55.64840154939473,10,0,46.60400182281727,175.34149258831806,121.76439851262053,290.70588657170015,145.33369730025285,244.34171005994747,181.768903517743,227.65106425198655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.7015441980160462,1.0,0.3435527588652588,0.2709513055996069,860,396,5,0,0,-0.064,728,0.0,0.0,"[9, 1, 0, 0]"
revocation,0.05,0.7,0.0,3,45,1890,1890,0.27864603348347294,0.0,1990.1123823372825,49.75280955843206,10,0,41.85624653933179,160.97886200363462,130.2427581042157,219.16101994201173,142.89620602695106,194.72053632714022,170.19593192102417,193.74745781323765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372093023255814,0.7332290867846312,1.0,0.49333333333333335,0.285388478011547,1085,574,0,0,0,-0.065,1059,0.0,0.0,"[10, 0, 0, 0]"
