ranking,detection,reset_cadence,seed,epoch,reset,mean_infection,max_infection,cache_corruption,tier3_poisoning,promotion_accuracy
quality,off,0,43,8,False,0.27973369981683616,0.27973369981683616,0.3,0.5405405405405406,0.4722222222222222
quality,off,0,43,9,False,0.2848002748626271,0.2848002748626271,0.3,0.5526315789473685,0.4533333333333333
quality,off,0,43,10,False,0.28860020614697035,0.28860020614697035,0.25,0.5365853658536586,0.45121951219512196
quality,off,0,43,11,False,0.27895015461022776,0.27895015461022776,0.25,0.5681818181818182,0.42391304347826086
quality,off,0,43,12,False,0.2717126159576708,0.2717126159576708,0.25,0.5957446808510638,0.40625
quality,off,0,43,13,False,0.2662844619682531,0.2662844619682531,0.25,0.6122448979591837,0.39603960396039606
quality,off,0,43,14,False,0.2622133464761898,0.2622133464761898,0.25,0.6274509803921569,0.38095238095238093
quality,off,0,43,15,False,0.2591600098571424,0.2591600098571424,0.3,0.6415094339622641,0.3783783783783784
quality,off,0,43,16,False,0.26937000739285677,0.26937000739285677,0.25,0.6551724137931034,0.3644067796610169
quality,off,0,43,17,False,0.26452750554464255,0.26452750554464255,0.2,0.6557377049180327,0.3629032258064516
quality,off,0,43,18,False,0.2483956291584819,0.2483956291584819,0.2,0.6666666666666666,0.3515625
quality,off,0,43,19,False,0.23629672186886141,0.23629672186886141,0.2,0.6818181818181818,0.3383458646616541
