ranking,detection,reset_cadence,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_infection,mean_infection,final_infection,late_infection,mean_tier3_poisoning,final_tier3_poisoning,mean_cache_corruption,contagion_writes
recency,off,0,2,44,2957,2957,0.29689193880036424,0.0,2932.0526922427266,73.30131730606817,10,0,60.145667418903585,206.3798155805288,156.0602133663181,384.1480748328469,163.48329214180146,293.56320646088903,215.59462854081283,286.8702839763886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276577703770043,0.6593542386502962,0.9276577703770043,0.7958965124617484,0.6530561973249023,0.7733333333333333,0.7539285714285715,547
recency,off,0,3,45,2974,2974,0.29847854361113724,0.0,2931.3646495368625,73.28411623842156,10,0,59.97543086873113,207.34867503235552,152.86087944745876,389.68625256429306,165.14087217400103,293.9429761635335,209.77804403203365,289.46024854199095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9360182901154418,0.6690103086377237,0.8406277122621791,0.8786171733559789,0.6322341155438111,0.7678571428571429,0.7533073870573871,572
recency,off,0,4,46,2995,2995,0.29831839783084785,0.0,2954.1209776879855,73.85302444219964,10,0,60.459440520234736,210.82233893362454,157.7126708117863,396.36692359726567,167.022947566137,295.47785660535266,214.0862978602145,298.2607747369283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9097803431900211,0.6732717961557444,0.8381220830027729,0.8771128914671793,0.6679397755983053,0.7906976744186046,0.7561309523809524,552
recency,off,0,5,47,2998,2998,0.2969368376048439,0.0,2970.580930235733,74.26452325589332,10,0,60.917086183403775,211.28935266691187,155.6174421227176,393.5101302122098,168.06075808488245,295.92510542482444,213.66850650580852,297.46768311459556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047768519650292,0.6687206106650472,0.8895152344227467,0.8713846536231129,0.65296634758474,0.782608695652174,0.7566842532467533,540
recency,off,0,6,48,2972,2972,0.29720557894649946,0.0,2941.6119901620664,73.54029975405166,10,0,60.294470298884185,208.39390079463436,150.2955174943167,387.6193029254944,164.5886739750288,296.756597743775,212.6894695360829,293.48044840815646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9330037869752085,0.7289974128043066,0.8743978553214165,0.9086159964570196,0.7540441650897821,0.8545454545454545,0.815827251953413,560
recency,off,0,7,49,2985,2985,0.2966727943255172,0.0,2960.9272192596495,74.02318048149124,10,0,60.74785938998956,210.57461096406942,156.46562951821886,384.0692005794704,165.9668619143582,305.9759450878344,215.24001772171246,294.364487672499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9085974266773741,0.6758721808089738,0.8009268851029786,0.8331942683294977,0.6909942366831832,0.7983193277310925,0.7559416971916972,529
recency,off,0,8,50,2979,2979,0.29808249514960117,0.0,2939.566948454815,73.48917371137037,10,0,60.17255730749442,209.03891456204315,148.5666069839277,391.4218380720294,164.2371769422174,306.98651234454445,207.29781818899593,295.34087671679333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419780565822211,0.7413393922119869,0.9189835424366658,0.9240754854276609,0.6354299504972885,0.7936507936507936,0.8315131578947368,594
recency,off,0,9,51,2977,2977,0.2977910898186485,0.0,2941.4200646177983,73.53550161544496,10,0,60.24470778287631,209.20212507700035,146.9694816976514,394.8132333735487,163.75509418408907,301.9954531878149,215.9141185150163,295.7905569813189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8982558234771211,0.6785468473857152,0.8620924550251966,0.8658490105355774,0.6228855259497068,0.765625,0.7644537815126051,531
recency,off,2,0,42,3000,3000,0.28874019444608334,0.0,3057.259972471158,76.43149931177895,10,0,63.448822719739816,214.46354197293584,149.82666840425114,381.4166130243643,175.69236323898917,303.6945089521807,210.60420132669137,288.09126500827574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18134280501166952,0.09913098695116823,0.1233789958642981,0.1164664819418346,0.11065713891371787,0.09090909090909091,0.11065713891371787,74
recency,off,2,1,43,2986,2986,0.2876358660080759,0.0,3053.0489914320938,76.32622478580234,10,0,63.44849974800261,212.70428822850786,156.2048796692117,381.69133735721164,174.1456475199684,293.39655518196764,212.7059387618884,288.033251610706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20085778904293897,0.10273415876517082,0.10370346495663743,0.12241304875439907,0.11551191863691863,0.2,0.11551191863691863,67
recency,off,2,2,44,2987,2987,0.2870907944059475,0.0,3059.9690701965537,76.49922675491385,10,0,63.64320794695732,211.405594491207,159.0252683078256,380.46525795771765,173.7812266252807,300.8854068630559,210.66084585929804,279.91116621901597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17324601665365197,0.10500016658870859,0.0818335356529756,0.08387691426145392,0.1149838356088356,0.15384615384615385,0.1149838356088356,97
recency,off,2,3,45,2987,2987,0.28815617498956725,0.0,3050.5192461306333,76.26298115326583,10,0,63.36527194501849,213.09073501957067,163.16914101215914,378.9013805055842,174.53339044197844,303.4872635616962,207.56597381023067,286.3268850859547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17200036382360068,0.08942423551842109,0.06720556634191553,0.084125800280171,0.09724243077184254,0.1111111111111111,0.09724243077184254,54
recency,off,2,4,46,2994,2994,0.2889086503204967,0.0,3048.894996787814,76.22237491969534,10,0,63.25573519964145,214.29394403088136,161.62932199283355,385.7862478617095,176.41342453187676,292.4240807136996,213.92734730564396,289.0537325491049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13334220958005433,0.07913494859656983,0.10000665718504075,0.10517343628685571,0.08976044788544787,0.125,0.08976044788544787,66
recency,off,2,5,47,3008,3008,0.2874113561638888,0.0,3078.078459230148,76.9519614807537,10,0,63.99054291853362,213.92844144557884,165.25529258348075,380.7724800649119,175.88034726027774,300.93517279595613,215.9274236338349,283.5698672321656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15833654874851172,0.09571292291817106,0.09365688484181155,0.11348633992208124,0.10273718928130693,0.0,0.10273718928130693,85
recency,off,2,6,48,3004,3004,0.2867808639975773,0.0,3079.940606975794,76.99851517439484,10,0,64.08060608752321,215.3571137159929,167.23234523296182,387.11068877103185,178.3067574655408,289.73238924723546,218.75772814150903,287.62023748897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1807221738081819,0.10113236574902755,0.1078695629807388,0.09790501980207048,0.11636544011544012,0.2857142857142857,0.11636544011544012,69
recency,off,2,7,49,3028,3028,0.2873486922178403,0.0,3099.3076001160935,77.48269000290233,10,0,64.43845882694377,218.36123463069393,167.81469503234106,387.30653885050276,177.79521192987886,313.04022690632564,214.88621913208527,294.4573143446276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1748631420787216,0.08825854218169886,0.07057632905188693,0.10119298638758165,0.10105176686059039,0.3,0.10105176686059039,64
recency,off,2,8,50,2997,2997,0.2873749618093492,0.0,3067.1199568158936,76.67799892039734,10,0,63.76529284752614,213.05955309779256,162.09727773971787,375.6918852414827,175.3754607762254,298.2501876644213,207.80636661931632,286.1431060184179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176302163485468,0.09450039212172215,0.06750639264304484,0.09941606899131684,0.10340952541610435,0.15384615384615385,0.10340952541610435,72
