mode,detection,write_pref,side_host_attention,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value
revocation,0.065,0.7,,0,42,2809,2809,0.29203512617321026,0.0,2829.4466072249497,70.73616518062374,10,0,58.433723741910185,203.43303355923598,141.9250252099433,363.0619013854469,156.13525771989922,319.4316265557157,211.42540463136135,283.3308790429437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.10083788539670893,0.4,0.17947682799656484,0.019079434915241382,174,83,7,0,0,0.0,8,0.0,0.0
revocation,0.065,0.7,,1,43,2860,2860,0.2881908851839091,0.0,2919.1725443704877,72.97931360926219,10,0,60.622721893249505,209.36476297645146,157.37124568625055,398.7206400422582,168.70423299631094,282.924444964091,211.38283772915588,293.55747454670086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.09415689924618495,0.2,0.027599206349206346,0.00010382724728692849,142,27,6,0,0,0.0,0,0.0,0.0
revocation,0.065,0.7,,2,44,2854,2854,0.2882219697476348,0.0,2911.981817664234,72.79954544160584,10,0,60.46417110777145,207.49539056694312,150.60719550702277,366.52662421914687,166.3820062224337,315.90093688470887,201.2949590572172,279.7329861964515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34146341463414637,0.08216262092519669,0.2,0.12967948717948719,0.017746505688805377,135,56,8,0,0,0.0,0,0.0,0.0
revocation,0.065,0.7,,3,45,2798,2798,0.2866878111269518,0.0,2868.815046910274,71.72037617275684,10,0,59.688677850302064,206.09781396680341,157.03634742619963,371.8327626205092,170.38643365355253,286.05509402399053,206.87845071304127,272.8629965048437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.16842156613165016,0.6,0.08630804953560371,0.022980141046792493,190,94,12,0,0,0.0,30,0.0,0.0
revocation,0.065,0.7,,4,46,2818,2818,0.28916735498571744,0.0,2868.1827586993745,71.70456896748436,10,0,59.493610549981476,208.80175584379094,153.0920881271564,393.5389222500952,166.91161569998235,281.35641774120865,215.22710598447512,294.9821702561658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.0759743329172681,0.1,0.11424019607843136,0.002045921761333803,208,73,6,0,0,0.0,14,0.0,0.0
revocation,0.065,0.7,,5,47,2901,2901,0.28309302203186215,0.0,3008.286101404427,75.20715253511068,10,0,62.881944158953615,213.44990650505005,170.69438859702888,317.84345910204706,181.4351140459377,310.051464187598,212.1725941155033,261.8321612358866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.04314307118448539,0.2,0.15865384615384615,0.01815196381760808,118,81,8,0,0,0.0,13,0.0,0.0
revocation,0.065,0.7,,6,48,2878,2878,0.290048451833857,0.0,2919.774640536795,72.99436601341986,10,0,60.481607074611496,209.14877457448537,154.96662785266747,390.06584841931476,169.48613964360442,261.7568620882211,214.7787058379055,299.01766997855026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3023255813953488,0.07288632119514472,0.1,0.059934640522875816,0.0012946976274832334,136,26,7,0,0,0.0,0,0.0,0.0
revocation,0.065,0.7,,7,49,2843,2843,0.28891700405183895,0.0,2895.601607521618,72.39004018804044,10,0,60.079459044753364,208.9457567731803,154.80270469501912,389.6352118110504,167.87428391310334,280.17263963660196,209.5178680432826,296.2606782866493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4318181818181818,0.0438755980861244,0.1,0.09604645354645355,0.004939357581927363,161,67,9,0,0,0.0,2,0.0,0.0
revocation,0.065,0.7,,8,50,2840,2840,0.2865348831487339,0.0,2913.281943076809,72.83204857692023,10,0,60.62593950225899,209.75722519076862,144.05640172155282,385.03073812113513,168.1818319789388,294.3383988359502,206.7837779774951,293.6795416103041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5581395348837209,0.07502929727701206,0.2,0.026666666666666665,0.00095519496019873,173,56,9,0,0,0.0,4,0.0,0.0
revocation,0.065,0.7,,9,51,2869,2869,0.2846839641780747,0.0,2959.1407044547586,73.97851761136897,10,0,61.71884424866924,211.56377702138465,154.5626415203321,368.7337379235543,174.98880546631767,294.2529931417033,208.5778270152759,281.4370586294807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.08400779584115832,0.0,0.12509678230266466,0.0053980496186592205,146,65,8,0,0,0.0,0,0.0,0.0
