mode,detection,write_pref,side_host_attention,side_routing,side_task_overlap,side_deadline_pressure,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value
deletion,0.0,0.7,,overlap,0.3,0.5,5,47,2803,2803,0.28850492785222787,0.0,2857.5824692531833,71.43956173132958,10,0,59.31419027215234,207.07045438248488,161.1624251461227,374.02032248449336,170.24282244801663,278.0904271008564,209.9843686027607,280.5864067165659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2826086956521739,0.17347981728416512,1.0,0.47303838522588526,0.24160940394582475,219,98,0,0,0,0.0,208,0.0,0.3790622426595592
deletion,0.0,0.7,,overlap,0.3,0.5,6,48,2807,2807,0.288392035949834,0.0,2862.5589753627837,71.5639743840696,10,0,59.42526398125822,207.71459955907548,157.10946108207278,378.51527463821645,167.87896623425863,290.1095796108791,213.9593389358778,282.9016398192232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.17040542763229657,1.0,0.46628189792663477,0.22166949714637624,195,97,0,0,0,0.0,187,0.0,0.3159108232408604
deletion,0.0,0.7,,overlap,0.3,0.5,7,49,2764,2764,0.2890644044299536,0.0,2813.24696118135,70.33117402953374,10,0,58.35432238768665,206.59021996825422,149.8102659249207,376.9290961469495,169.88978222699447,262.26603278478615,214.46797041780505,284.9147515589922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18389937275723298,1.0,0.4652777777777778,0.24515746500888982,256,132,0,0,0,0.0,251,0.0,0.31639341263879606
deletion,0.0,0.7,,overlap,0.3,0.5,8,50,2762,2762,0.28941185400923086,0.0,2806.9862433518383,70.17465608379595,10,0,58.18783068681866,202.04631913703705,146.21791492783416,378.03450349068464,159.05041414641357,289.2887149914182,202.7118423182404,287.0800745911152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.1385195590193637,1.0,0.4696915584415584,0.3005937844787025,202,98,0,0,0,0.0,197,0.0,0.30192025374022113
deletion,0.0,0.7,,overlap,0.3,0.5,9,51,2757,2757,0.28624718122916737,0.0,2832.496703309183,70.81241758272958,10,0,58.98225597968174,205.816425067507,161.57694849140174,361.1907923193222,175.0242540716288,255.8950807159672,207.72026195102686,272.2016917891515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.16920756757619207,1.0,0.5075000000000001,0.21251381763078875,252,131,0,0,0,0.0,247,0.0,0.39357499336723223
deletion,0.0,0.7,,overlap,0.3,1.0,0,42,2502,2502,0.28668216797492735,0.0,2566.5370818369515,64.16342704592378,10,0,53.40991417167496,192.68154534848225,134.081165996418,341.8671459260125,159.36339250955362,256.0984436714476,198.50890850376302,258.01387312614503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3877591949302476,1.0,0.5309203296703296,0.26208803663192254,513,290,0,0,0,0.0,496,0.0,0.3418129625506773
deletion,0.0,0.7,,overlap,0.3,1.0,1,43,2596,2596,0.2879839788967461,0.0,2651.584249849158,66.28960624622894,10,0,55.08188970144573,192.98565138258965,136.7592493833827,347.8981420317353,160.19496715372597,224.07933644242198,207.29210077774107,268.65763684168877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53125,0.2928972623018099,1.0,0.2973611111111111,0.21747464119093504,373,154,0,0,0,0.0,361,0.0,0.35037737712276484
deletion,0.0,0.7,,overlap,0.3,1.0,2,44,2611,2611,0.2853791839409786,0.0,2690.9079158271124,67.27269789567781,10,0,56.106115171385554,198.07388566728636,143.67961420381613,371.9088278446028,159.77053164548886,281.3958602020084,208.78025980144335,265.96977339823934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4807692307692308,0.2997932740659652,1.0,0.5287646198830409,0.27975126945722006,373,202,0,0,0,0.0,350,0.0,0.3170731450102207
deletion,0.0,0.7,,overlap,0.3,1.0,3,45,2497,2497,0.2877945875295699,0.0,2553.748965442931,63.84372413607328,10,0,53.077910748321415,190.1760605782635,141.89689325589393,345.7513548484102,154.22047536650504,239.62933015049524,199.63142050682984,268.5885014631398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4883720930232558,0.38906384638250957,1.0,0.45375,0.2512570897486673,485,246,0,0,0,0.0,474,0.0,0.28575360971717534
deletion,0.0,0.7,,overlap,0.3,1.0,4,46,2520,2520,0.2868991419525207,0.0,2580.355243595899,64.50888108989747,10,0,53.65750716458517,193.91958060721248,137.51621417962403,368.5917186130155,155.68894278274263,260.2996311196993,206.9209413294331,268.9207884632684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217391304347826,0.3583196403433469,1.0,0.44027777777777777,0.3161140272982463,491,252,0,0,0,0.0,488,0.0,0.2814664213753465
