mode,detection,write_pref,side_host_attention,side_teardown_policy,side_evasion_rate,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value
deletion,0.05,0.7,,complete,0.5,9,51,2395,2395,0.2791967414999611,0.0,2506.0698407963264,62.65174601990816,10,0,52.57558355283304,189.75676151003228,140.2749497630773,292.52965586764515,159.42875135438834,280.9351830113978,186.0244322422389,237.01774586017808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8717948717948718,0.46233661632226697,1.0,0.06875,0.03826137573621154,609,287,16,0,0,0.0,0,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,0,42,1908,1908,0.27929711831041354,0.0,1999.8025381465227,49.995063453663064,10,0,41.982427592544745,163.48430863355037,131.67186839321465,246.57241059123072,143.4634813516631,196.22999296894483,179.8048979422845,199.01365365714784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918918918918919,0.6746880008073572,1.0,0.4575,0.2592554983243356,1124,591,0,30,550,0.0,541,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,1,43,2044,2044,0.28061866271196584,0.0,2134.9141261703376,53.372853154258436,10,0,44.75629782853928,169.61710930881037,119.12437719706178,296.74707941263654,142.54629836242933,203.83573125804386,191.6474028629416,222.70508439627125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174,0.6924686022446745,1.0,0.3783333333333333,0.26574951695752824,965,462,0,22,439,0.0,491,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,2,44,2026,2026,0.2808385771482726,0.0,2113.66065884179,52.84151647104475,10,0,44.290019377699636,168.14348369936178,137.05275403921806,290.30214393941213,141.88027162299164,212.77685575953348,183.67826305168114,216.84904422222667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7954545454545454,0.6944569934349616,1.0,0.4759090909090909,0.259579391391316,972,516,0,28,454,0.0,486,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,3,45,1934,1934,0.2827018121530406,0.0,2007.835753766256,50.1958938441564,10,0,41.98928687547808,160.35061561699223,124.28015670057458,223.22091037621811,132.48715330631308,223.22091037621811,169.99664335775796,207.68284129903387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8367346938775511,0.6980310964767034,1.0,0.4746153846153846,0.2509275182895759,1037,541,0,26,495,0.0,515,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,4,46,1933,1933,0.28283847711181614,0.0,2003.4557008063537,50.08639252015884,10,0,41.86928531783389,161.1556497903912,120.42852183742957,212.7049434560175,140.50698445700917,194.5432703163677,169.3422738287723,202.3145235083585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8717948717948718,0.6923105438592404,1.0,0.4425,0.28356320702574295,1023,531,0,27,488,0.0,510,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,5,47,1989,1989,0.28093669317739384,0.0,2081.2618461121638,52.0315461528041,10,0,43.66358370918123,168.53838131549608,140.5472433333922,222.02987481400797,147.42964042730304,197.94466677537824,179.45891296163146,211.7011954270664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.6971220093164201,1.0,0.5403819444444444,0.2597535954680919,1013,516,0,29,468,0.0,521,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,6,48,2203,2203,0.28256088000182494,0.0,2282.0917969515613,57.052294923789034,10,0,47.68211167504584,179.17453286519748,133.27758617909174,292.78118720757925,155.28024833224273,193.3568753749295,193.32020221292646,236.6933805353312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.6944713215920646,1.0,0.41555555555555557,0.2317698272103588,811,436,0,25,368,0.0,420,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,7,49,2085,2085,0.2777964741816239,0.0,2196.745706252737,54.918642656318426,10,0,46.21310900743338,174.96419492422973,129.15886781370705,262.39323542584964,155.77715466962135,262.39323542584964,166.3048928381964,193.14044648026157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8108108108108109,0.6589998097140954,1.0,0.5637646198830409,0.27158036529577206,936,515,0,24,444,0.0,460,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,8,50,2097,2097,0.27672468313655524,0.0,2216.0991657329982,55.40247914332495,10,0,46.67644605097048,177.92046332924983,131.81559049905158,298.2877923465252,147.90629456250247,298.2877923465252,185.70451597730596,203.88727879682625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.6823523111286163,1.0,0.48944444444444446,0.2409908517579737,938,497,0,29,431,0.0,477,0.0,0.0
deletion,0.05,0.7,,ordered,0.0,9,51,2054,2054,0.2761140779984021,0.0,2177.0867263895643,54.42716815973911,10,0,45.90843312910478,175.19058442453215,133.2080096277339,251.18428149387327,152.16336366301212,239.15507571325125,197.42003514158142,201.17527570620803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.6729056527764372,1.0,0.5265453296703296,0.32657859687323754,973,542,0,19,470,0.0,477,0.0,0.0
deletion,0.05,0.7,,ordered,0.5,0,42,1935,1935,0.283880120120081,0.0,1996.6414526085,49.9160363152125,10,0,41.65121919436761,162.42525198018876,118.17258145877351,283.06737422672734,133.9306550418946,189.41945272820027,180.62845819972898,225.31033931129548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6911314292351431,1.0,0.44875,0.27621569673578394,1058,533,0,26,46,0.0,981,1.0,0.0
deletion,0.05,0.7,,ordered,0.5,1,43,2091,2091,0.2799657775421055,0.0,2186.7305285402836,54.66826321350709,10,0,45.865603780596516,174.2539818180315,135.19689817472025,299.9296283769855,150.80738428126128,207.02699616530464,185.38551534280947,222.64150049231657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8292682926829268,0.6939243510298932,1.0,0.42833333333333334,0.2442093320385026,927,459,0,23,53,0.0,840,1.0,0.0
