able_rate,bond,default_rate,gift,involuntary_default_rate,mean_borrower_mana,mean_lender_loss,n,principal_sigma,rho,rho_star,strategic_default_rate,total_lender_loss,w_rep
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,1.0,0.6226415094339622,0.0,0.0,1000.0
0.4,2500.0,1.0,0.0,0.6,5179.073973593896,2678.8752765421254,200,0.0,0.0,0.05660377358490565,0.4,535775.0553084251,2500.0
1.0,2500.0,1.0,5010.0,0.0,10160.198697051768,2650.0,200,0.0,0.0,0.05660377358490565,1.0,530000.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.1,0.05660377358490565,0.0,323775.0553084251,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.1,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.2,0.05660377358490565,0.0,323775.0553084251,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.2,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.3,0.05660377358490565,0.0,323775.0553084251,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.3,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.4,0.05660377358490565,0.0,323775.0553084251,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.4,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.5,0.05660377358490565,0.0,323775.0553084251,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.5,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.6,0.05660377358490565,0.0,323775.0553084251,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.6,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.7,0.05660377358490565,0.0,323775.0553084251,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.7,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.8,0.05660377358490565,0.0,323775.0553084251,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.8,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.9,0.05660377358490565,0.0,323775.0553084251,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.9,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,3493.6905929091563,993.4918958573858,200,0.0,1.0,0.05660377358490565,0.0,198698.37917147717,2500.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,1.0,0.05660377358490565,0.0,0.0,2500.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.0,0.0,0.0,323775.0553084251,5000.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.0,0.0,0.0,0.0,5000.0
0.4,2500.0,0.6,0.0,0.6,4119.073973593896,1618.8752765421254,200,0.0,0.1,0.0,0.0,323775.0553084251,5000.0
1.0,2500.0,0.0,5010.0,0.0,7510.19869705177,0.0,200,0.0,0.1,0.0,0.0,0.0,5000.0
